case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,manifest_path
1,1,1,ADV-0131,Wolves of Amphail,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Levels,levels-v2.1,experiments/production-backlog-003/production-backlog-003-qwen-levels-adv0131-v1.yml
2,1,2,ADV-0131,Wolves of Amphail,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Combat Emphasis,production-base,experiments/production-backlog-003/production-backlog-003-qwen-combat-adv0131-v1.yml
3,1,3,ADV-0131,Wolves of Amphail,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Structural Openness,production-base,experiments/production-backlog-003/production-backlog-003-qwen-structural-openness-adv0131-v1.yml
4,1,4,ADV-0131,Wolves of Amphail,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Darkness / Horror Intensity,production-base,experiments/production-backlog-003/production-backlog-003-qwen-darkness-adv0131-v1.yml
5,1,5,ADV-0131,Wolves of Amphail,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Player Beginner Suitability,production-base,experiments/production-backlog-003/production-backlog-003-qwen-player-beginner-adv0131-v1.yml
6,1,6,ADV-0131,Wolves of Amphail,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-003/production-backlog-003-qwen-social-adv0131-v1.yml
7,1,7,ADV-0131,Wolves of Amphail,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-003/production-backlog-003-qwen-investigation-adv0131-v1.yml
8,1,8,ADV-0075,Yester Hill,Curse of Strahd,Wizards of the Coast,4,Levels,levels-v2.1,experiments/production-backlog-003/production-backlog-003-qwen-levels-adv0075-v1.yml
9,1,9,ADV-0075,Yester Hill,Curse of Strahd,Wizards of the Coast,4,Combat Emphasis,production-base,experiments/production-backlog-003/production-backlog-003-qwen-combat-adv0075-v1.yml
10,1,10,ADV-0075,Yester Hill,Curse of Strahd,Wizards of the Coast,4,Structural Openness,production-base,experiments/production-backlog-003/production-backlog-003-qwen-structural-openness-adv0075-v1.yml
11,1,11,ADV-0075,Yester Hill,Curse of Strahd,Wizards of the Coast,4,Darkness / Horror Intensity,production-base,experiments/production-backlog-003/production-backlog-003-qwen-darkness-adv0075-v1.yml
12,1,12,ADV-0075,Yester Hill,Curse of Strahd,Wizards of the Coast,4,Player Beginner Suitability,production-base,experiments/production-backlog-003/production-backlog-003-qwen-player-beginner-adv0075-v1.yml
13,1,13,ADV-0075,Yester Hill,Curse of Strahd,Wizards of the Coast,4,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-003/production-backlog-003-qwen-social-adv0075-v1.yml
14,1,14,ADV-0075,Yester Hill,Curse of Strahd,Wizards of the Coast,4,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-003/production-backlog-003-qwen-investigation-adv0075-v1.yml
15,1,15,ADV-0178,Trail of Destruction,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Levels,levels-v2.1,experiments/production-backlog-003/production-backlog-003-qwen-levels-adv0178-v1.yml
16,1,16,ADV-0178,Trail of Destruction,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Combat Emphasis,production-base,experiments/production-backlog-003/production-backlog-003-qwen-combat-adv0178-v1.yml
17,1,17,ADV-0178,Trail of Destruction,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Structural Openness,production-base,experiments/production-backlog-003/production-backlog-003-qwen-structural-openness-adv0178-v1.yml
18,1,18,ADV-0178,Trail of Destruction,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Darkness / Horror Intensity,production-base,experiments/production-backlog-003/production-backlog-003-qwen-darkness-adv0178-v1.yml
19,1,19,ADV-0178,Trail of Destruction,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Player Beginner Suitability,production-base,experiments/production-backlog-003/production-backlog-003-qwen-player-beginner-adv0178-v1.yml
20,1,20,ADV-0178,Trail of Destruction,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-003/production-backlog-003-qwen-social-adv0178-v1.yml
21,1,21,ADV-0178,Trail of Destruction,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-003/production-backlog-003-qwen-investigation-adv0178-v1.yml
22,1,22,ADV-0133,Safe House Standoff,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Levels,levels-v2.1,experiments/production-backlog-003/production-backlog-003-qwen-levels-adv0133-v1.yml
23,1,23,ADV-0133,Safe House Standoff,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Combat Emphasis,production-base,experiments/production-backlog-003/production-backlog-003-qwen-combat-adv0133-v1.yml
24,1,24,ADV-0133,Safe House Standoff,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Structural Openness,production-base,experiments/production-backlog-003/production-backlog-003-qwen-structural-openness-adv0133-v1.yml
25,1,25,ADV-0133,Safe House Standoff,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Darkness / Horror Intensity,production-base,experiments/production-backlog-003/production-backlog-003-qwen-darkness-adv0133-v1.yml
26,1,26,ADV-0133,Safe House Standoff,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Player Beginner Suitability,production-base,experiments/production-backlog-003/production-backlog-003-qwen-player-beginner-adv0133-v1.yml
27,1,27,ADV-0133,Safe House Standoff,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-003/production-backlog-003-qwen-social-adv0133-v1.yml
28,1,28,ADV-0133,Safe House Standoff,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-003/production-backlog-003-qwen-investigation-adv0133-v1.yml
29,1,29,ADV-0242,Wakenreth,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Levels,levels-v2.1,experiments/production-backlog-003/production-backlog-003-qwen-levels-adv0242-v1.yml
30,1,30,ADV-0242,Wakenreth,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Combat Emphasis,production-base,experiments/production-backlog-003/production-backlog-003-qwen-combat-adv0242-v1.yml
31,1,31,ADV-0242,Wakenreth,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Structural Openness,production-base,experiments/production-backlog-003/production-backlog-003-qwen-structural-openness-adv0242-v1.yml
32,1,32,ADV-0242,Wakenreth,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Darkness / Horror Intensity,production-base,experiments/production-backlog-003/production-backlog-003-qwen-darkness-adv0242-v1.yml
33,1,33,ADV-0242,Wakenreth,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Player Beginner Suitability,production-base,experiments/production-backlog-003/production-backlog-003-qwen-player-beginner-adv0242-v1.yml
34,1,34,ADV-0242,Wakenreth,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-003/production-backlog-003-qwen-social-adv0242-v1.yml
35,1,35,ADV-0242,Wakenreth,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-003/production-backlog-003-qwen-investigation-adv0242-v1.yml
